coin_name,coin_symbol,marketCap,percentChange1h,percentChange24h,percentChange7d,price,volume24h
Bitcoin,BTC,1830629217837.3083,0.0788856,1.38002967,5.87014042,92528.32404378352,70392014660.43878
Ethereum,ETH,374815261812.11035,0.16304917,-1.58101645,-4.61020465,3112.429949322949,32843270568.05852
Tether USDt,USDT,128259595045.8821,0.01121745,0.05654317,0.00534062,1.0008440624598376,145255829343.83075
Solana,SOL,114744755642.34154,0.24113177,1.21878308,13.9932863,241.79364436564825,6792922799.33887
BNB,BNB,88514065326.20183,-0.14651164,-0.94003071,-1.66528624,614.634974757445,2132421093.8514879
XRP,XRP,62353890493.47754,-0.26793575,-2.86425727,61.61447212,1.0952490778772084,6343314563.168784
Dogecoin,DOGE,58939826522.65636,1.99166097,8.72489154,10.55373622,0.40133867999646555,10645327479.711966
USDC,USDC,37280422342.83823,0.01500489,0.00519747,0.05114377,1.000018336270462,10526116438.364786
Cardano,ADA,25666395199.95828,0.29080958,-1.02847709,28.26313973,0.7326185628166434,1458324001.6347733
TRON,TRX,17524397767.15008,0.46043234,-0.66300962,13.67788745,0.2029101861408582,851193748.6371226
Shiba Inu,SHIB,15106107560.35565,2.15747782,3.33474824,0.78929988,2.5635703710278106e-05,1240969193.1009386
Avalanche,AVAX,14100629234.11929,0.14252257,-2.74301304,2.72784437,34.472699946293844,736208068.0662304
Toncoin,TON,14055946572.711906,0.1310847,0.54212267,4.49717184,5.520609376439681,328787544.74116784
Sui,SUI,10478175426.095234,0.41727715,-1.03990577,18.36766994,3.682042647782023,1181699005.3011131
Chainlink,LINK,9268872085.54249,0.23618083,-4.66446017,5.68327973,14.786428208407496,715938979.8805467
Bitcoin Cash,BCH,8878992800.769115,0.1332472,1.0364329,3.80302392,448.65108277555345,610221775.4487313
Polkadot,DOT,8846859638.949278,-0.00125574,-0.13348047,9.64314239,5.818428819093028,492714039.32735765
Pepe,PEPE,8536161925.845727,0.68448017,-3.0059959,58.78967188,2.02908649003597e-05,3564060877.430315
UNUS SED LEO,LEO,7297779532.662857,0.02407305,2.906078,8.36850298,7.890934370693716,768902.76185407
NEAR Protocol,NEAR,7050720759.613665,-0.02854888,-5.10511217,13.7016753,5.78921514655919,594880249.0864868
Stellar,XLM,7004162894.582915,-1.22994249,-0.74120188,91.36941884,0.23387965378112974,1208093487.4776888
Litecoin,LTC,6554865766.684319,-0.12848887,-2.00565113,15.10179487,87.14982647264888,966956938.3159676
Aptos,APT,6278666223.183617,0.25960465,-1.97287918,-5.52093142,11.786146673630565,381076059.1817002
Uniswap,UNI,5656871798.720919,0.47434167,2.46554957,6.46302547,9.421444983580312,390742943.23203427
Dai,DAI,5364777641.3452635,-0.0033531,-0.0050221,-0.01587206,0.9998872286744227,132940451.27319056
Hedera,HBAR,5164925451.09682,-0.26741363,0.48718661,152.7509935,0.13702599687060288,2867234466.417733
Cronos,CRO,4489810417.5596,0.74427974,-1.65633934,-2.02983435,0.16897051960653114,43927475.44076182
Internet Computer,ICP,4422244987.826926,1.0247122,0.08223048,7.14811758,9.319815334802042,190152703.14551568
Render,RENDER,4192796208.653069,0.6560061,3.03347234,15.61980753,8.099036403314253,1182828100.3811839
Kaspa,KAS,4191569734.5314574,3.38339208,0.45954876,22.46389236,0.16652503539676405,265044034.939785
Bonk,BONK,4171954790.3766584,2.20312385,14.67874647,85.98442201,5.557722828237711e-05,1677507511.7299736
Ethereum Classic,ETC,3919551590.9308968,-0.01271981,-1.13078115,17.61373455,26.197978393944823,343902887.85245305
MANTRA,OM,3855886936.406062,0.61017489,2.94409954,222.14170526,4.278402779773976,485064865.5415411
Bittensor,TAO,3557418571.1859503,0.20584814,-5.78025347,-11.05901302,481.9739083479318,253549811.7170761
POL (ex-MATIC),POL,3520503923.397129,1.87762766,-3.75570846,13.49428518,0.4426079072025917,393152159.0674246
dogwifhat,WIF,3499130568.675579,1.33721341,1.11524002,20.13928586,3.5031771486602907,838272922.7173095
Artificial Superintelligence Alliance,FET,3199208420.0711455,0.64704238,-2.09389583,-5.48964022,1.3137708948321198,362681006.6834843
Monero,XMR,2930951806.850784,-0.4005121,2.15815022,3.01096013,158.88721582189672,88436511.96034697
Stacks,STX,2882639485.1332955,1.04596982,0.16250688,-3.2411615,1.9200005592044562,186637784.34957823
Arbitrum,ARB,2839391866.1071,-0.22624291,-3.38324138,11.5985535,0.6929808444761003,686449845.8266628
VeChain,VET,2721846874.823891,0.69939984,3.20572006,28.74230315,0.03360925468785097,132105280.00370304
Filecoin,FIL,2654571581.361449,-0.57480915,-1.32764713,5.55975337,4.42366232102173,248606000.49405476
OKB,OKB,2650405502.624146,-0.04877984,0.25250608,-1.50315284,44.17342504373577,4434535.7960273
Mantle,MNT,2511404594.1284084,0.14065645,2.68933817,2.27915096,0.7459229782863652,106805628.1941287
First Digital USD,FDUSD,2462238551.354263,0.01852094,-0.0644076,-0.04711928,0.9977991839375452,8301399825.394815
Aave,AAVE,2459946903.3773856,-0.28811901,-2.81788915,-8.0273985,164.22861429826384,250383098.88185203
Cosmos,ATOM,2448579042.3853827,-1.01418614,-1.21891487,18.62674543,6.2634044740310895,494742671.53879535
Injective,INJ,2433391291.2272906,-0.49092509,-3.34618705,2.64036876,24.61750161725031,190535892.92472813
FLOKI,FLOKI,2416228668.0226173,0.21321626,-0.15334587,31.58424656,0.00025155790943454055,556701111.172927
The Graph,GRT,2302492148.5858097,2.4596254,10.53253664,28.68767675,0.24113573342410677,240790844.63076797
Immutable,IMX,2291712058.8253374,0.21441868,-1.02186267,7.00717702,1.372078370452074,98469839.27237304
Celestia,TIA,2195782063.397589,-0.70683891,-4.21929,0.96234445,5.196611752873995,314789221.2633375
Optimism,OP,2179680412.0351505,-0.5426103,-1.44051711,7.24500192,1.7366995938996628,390823827.9814742
Sei,SEI,2121722154.4539473,-0.06391441,-3.93631266,8.35432245,0.4992776910568581,306893398.24512786
Fantom,FTM,1966343651.5945082,-0.20769669,-2.05921007,-4.75017566,0.7013551218146352,269350640.44944316
Bitget Token,BGB,1898189557.917157,0.24294601,-1.33658784,-2.77739828,1.3558496842265406,82522052.66942845
Algorand,ALGO,1879176289.799476,-0.69816385,3.00196263,53.74616109,0.22706564348379052,361039769.20290416
Popcat (SOL),POPCAT,1813893942.7021127,-0.63970916,4.54869242,19.33793666,1.8509628336845745,119317346.39420407
THORChain,RUNE,1794632386.907356,0.29267231,-1.48897084,-8.4006266,5.297945663752997,219353502.75259703
Theta Network,THETA,1760820258.5532048,1.38071127,4.91622231,24.45263072,1.7608202585532047,180730470.18461153
Peanut the Squirrel,PNUT,1756080573.7827952,7.29172236,6.26837819,280.36560106,1.756335404418274,1427166912.9307008
Brett (Based),BRETT,1708886763.7013655,-1.14098608,5.30674771,48.33381632,0.17243652881615903,109762745.19903016
Raydium,RAY,1639305192.7810912,-0.3242115,1.3432684,22.60812566,5.634534734941512,160916980.05039415
Jupiter,JUP,1588653896.7503538,0.03848663,1.10697542,2.74203477,1.1767806642595213,188077773.85823435
Ethena,ENA,1567432366.5938036,-0.14196404,-7.7985919,-8.2038738,0.5514880234304752,329963611.32847226
Worldcoin,WLD,1524245983.2479038,0.14389948,-2.97484716,-5.03708068,2.2914143960720077,434550318.80047125
Pyth Network,PYTH,1502145602.8758895,0.17383905,0.03493819,3.27162338,0.41438627575775167,169042112.60405004
Ondo,ONDO,1419784997.628905,1.25315748,3.42605249,16.99445164,1.021604566716663,261173221.1614491
Bitcoin SV,BSV,1368729479.7536874,0.68739479,0.32094407,19.24975524,69.17648948393881,65738039.93387758
Maker,MKR,1313501870.8864195,-0.08407849,-2.06596042,0.02988483,1490.768907249556,110673427.77606158
KuCoin Token,KCS,1308518862.9597647,0.17530115,2.19789778,2.10845009,10.881010011351758,1716506.13115289
Beam,BEAM,1214104595.0465617,0.08832519,0.5454618,17.00271717,0.024544222147459747,36921249.72794458
Arweave,AR,1212933199.7511475,0.38076245,-2.81997545,3.16550884,18.475059257502185,164826583.94521472
Quant,QNT,1100690047.7733123,0.13969406,2.99624578,44.13785632,91.17153439205856,51496092.50401071
Flow,FLOW,1086133460.8565319,0.3132436,-3.8067352,18.67643358,0.7031088931842169,89339603.32715234
Flare,FLR,1080731443.1567557,0.57662676,0.0054359,42.23102344,0.020563767084951383,22028298.25063212
BitTorrent [New],BTT,1079337759.4126139,0.1596488,-1.86099176,2.48275754,1.114734562982659e-06,32822095.33784915
JasmyCoin,JASMY,1069828908.4891871,-0.63971689,-1.21583246,6.04503044,0.02165864794981795,130621058.99854596
Gala,GALA,1069089343.2692425,0.65513004,-1.36856807,12.50247549,0.029848356538750932,253140203.2035329
Tezos,XTZ,1063048923.7976043,-0.01445361,-1.56695838,46.89482564,1.0487938999229298,832059510.5451916
Lido DAO,LDO,1067392111.7388452,0.13546415,-3.41555232,2.23115372,1.1916534815243158,171924652.53163853
Goatseus Maximus,GOAT,1037639384.3718348,-0.68927987,-3.19939398,10.11488799,1.0376428138929779,369929556.1956059
Akash Network,AKT,1036804678.5336298,-1.1152043,10.81030765,34.03864742,4.175851783822972,304384981.8126509
Polygon,MATIC,1032602734.7527503,1.98782564,-3.65597885,13.82634064,0.442168787869076,17403357.1737082
Starknet,STRK,1009756341.7722744,-0.48694423,-3.24331189,-1.96995241,0.48096115691938507,195237916.1247745
EOS,EOS,994306686.0342585,-0.09476884,-2.05697176,18.48206055,0.650555925666937,195985839.1337109
Helium,HNT,993107061.1630481,1.61922448,0.39338389,-3.60836875,5.825627032987299,13440545.5585144
cat in a dogs world,MEW,991820029.6696104,0.30590478,-2.5855677,14.79280965,0.011157975333894697,168429907.75189975
AIOZ Network,AIOZ,935955080.9259702,-0.3909076,-0.52415323,18.77593445,0.8228529019141739,27235120.55906814
Mog Coin,MOG,929357118.7353956,-2.18513904,-0.3699147,32.6156647,2.379504325980636e-06,36582528.33995973
Neo,NEO,901236651.0910931,0.17644702,-0.42972762,13.01807522,12.776461394591202,59593284.3573989
Aerodrome Finance,AERO,897425970.4728233,0.81382698,-2.00910458,-6.76056897,1.300625813384449,28065912.85816067
eCash,XEC,889765271.9505329,0.51586195,-1.75545625,12.44458508,4.4968254072403836e-05,41656885.16759806
Axie Infinity,AXS,887108421.4139439,0.19431645,-0.35619306,7.73819236,5.774040026618316,125059096.70456706
Core,CORE,885001670.6955037,-1.13791653,-5.95897736,-3.904142,0.960188599546293,58796661.25361583
GateToken,GT,884367948.4341124,-0.12912747,0.21508911,1.58683788,9.716601919838515,5776929.47463701
MultiversX,EGLD,876465729.0888903,0.34995689,2.67538013,4.15023993,31.786305534464773,54836878.23292886
Kaia,KAIA,876445494.3859535,-0.68819523,10.81155784,22.99674365,0.14922414283565044,69087524.89567848
Neiro (First Neiro On Ethereum),NEIRO,864245054.351539,0.89472771,-2.92045844,-21.56065449,0.002054403174198319,486907322.34328216
ApeCoin,APE,855951468.6907992,0.93824664,0.1370731,6.11977639,1.1372480512323146,136280928.50847736
